Username,Profile Age,Profile Description,Usage Period,Purchase Point,Stars,Recommend,Review,Status
azkiafaturahmi,18 and Under,"Oily, Medium Light, Cool",More than 1 year,Shopee,4,Ya,"INI SI LOVE BANGET YA! definisi fixing my skin barrier!! pake ini bruntusan langsung mengurangg, tapi minus nya bikin kulit aku makin oily huhuu apalagi kalo malem dipake nah pas pagi bangun tidur tuh bener2 oily bgtt dan isinya terlalu sedikitt but its okay",Asli
nuriamanda,19 - 24,"Combination, Dark, Neutral",6 months - 1 year,Shopee,4,Ya,"overalllllll ini lumayan bagusss sihhh tapi di awal awal pemakaian ajaa heheheheh kesananya kek b ajaa malah jadi kurang lembab gituuuu ga ngaruh apa apaa jugaaa, cuman ya masih okeee lah dan bagussss untuk dibeliiiiiiiii hehehehehhshehehehe",Asli
dm12,25 - 29,"Dry, Medium, Neutral",3 months - 6 months,Shopee,5,Ya,"Salah satu moisturizer yang bisa nenangin skin barier yang lagi ngamuk. I love the texture, gel thick, super smooth and not heavy at all, not sticky and make your skin glowing and feel healty, super moisturized your skin!!! ada wanginya sedikit, dewy finish, lembab nya poll tp ga bikin gerah. Bagus bgt buat jd primer sblm makeup-an. Bantu redain redness juga.",Asli
asaytin,30 - 34,"Oily, Medium Dark, Neutral",3 months - 6 months,Shopee,4,Ya,"my go-to moisturizer kalo muka lagi iritasi/kering. buat daily juga sebenernya oke tapi karena menurutku harganya lumayan mahal, aku cuma pake kalo perlu aja. teksturnya gel tapi efek melembapkannya kayak cream. karena mukaku oily jadi lebih cocok pake gel, kalo pake cream jadi greasy. superr lembut, hasilnya juga kerasa sampe besok paginya. minusnya cuma di harga hehe",Asli
lovelyaaa,18 and Under,"Oily, Medium, Neutral",6 months - 1 year,Shopee,5,Ya,"ini moisturizer yang paling ngaruh banget ke aku waktu muka aku breakout banyak bruntusan dan juga jerawat, baguss banget buat skin barrier, bruntusan aku di dahi juga semakin berkurang. tekstur nya juga enakeunn banget pas di pakai ke wajah, kalau untuk skin barrier aku rekomen banget produk iniðŸ‘ðŸ»",Asli
jihaandzni,18 and Under,"Dry, Medium, Neutral",Less than 1 week,Shopee,4,Ya,"awalnya ragu nyobain ini, tapi banyak yg bilang kalo ini bagus. bahkan temenku ngerekomendasiin jugaa pake produk inii. trs pas aku pake dan selang bbrp hari, ternyataa emg bagus banget! bruntusan di muka ku jd berkurangg. untuk hidrasi mungkin agak kurang di kulitku yg normal to dry skin. tapi diaa ckup bikin tenang ++ ga lengket dan cepet menyerapnyaa. minusnyaa si isinyaa dikitt jd agak iritâ€ juga makenyaa ðŸ˜­ðŸ˜­",Asli
acaaaaaaaaaaaaaa,19 - 24,"Combination, Light, Cool",1 month - 3 months,Shopee,1,Tidak,"A BIG NO FOR MEE ðŸ¥¹ awalnya beli gara2 sempet viral, alias kebawa fomo doang.. waktu itu aku lagi bruntusan parah juga ya kan, jerawat dimana-mana. banyak bgt review yg bilang dia bagus buat kulit berjerawat, kemerahan, dll. aku beli lah, aku jabanin dgn harganya yg lumayan mahal menurutku.. TERNYATA GA COCOKK, bikin kulit makin berminyak, banjir banget, becek.. bruntusan di dahi makin parah, jerawat di dagu juga makin banyak, mendem dan sakit bgt.. dari produk ini sih aku sadar, ternyata aku ga cocok sama kandungan ceramide yang terlalu tinggi.. sempet heran ni aku salah pakai atau gimana? soalnya aku liat org2 pada cocok aja.. dan pada bilang bagus, sampe overhype.. emang sihh dari segi tekstur dia enak bgt, cepet ngeresap ke kulit. tp yah, this one, not for me.",Asli
znzulaimyta,30 - 34,"Combination, Medium Light, Cool",6 months - 1 year,Shopee,4,Ya,"Moisturizer yg bikin kulit jadi adem. Buat yang dry skin mungkin ga senampol itu, tp lumayan sih bikin kulit jadi agak tenang dan ga rewel. Minusnya emang kalo di jar tuh agak kurang higienis, makanya sampe rela beli versi tube. Ga lengket & cepat menyerap. Sayang isinya berasa dikit bgt kalo dipake, cepet bet abisnyaðŸ˜…",Asli
Irasuri04,25 - 29,"Oily, Medium, Neutral",6 months - 1 year,Female Daily Studio,4,Ya,"Moist kecintaan ku, aku cocok banget pake moist ini pas di apply di wajah bener bener nge set nyerep cepet dan after nya ga bikin muka minyakan jadi aman banget dipake night dan day. Wajahku sempet kemerahan dan jerawat rutin pake skintific jadi bener2 sembuh walaupun untuk bekas nya gabisa hilang cepet ya.",Asli
meeelly,19 - 24,"Combination, Medium Light, Neutral",6 months - 1 year,Shopee,5,Ya,"Jujur aku udah coba semua varian skintific sesuai kondisi kulit aku, tapi kalo udah bersangkutan ke moisturizer, cuma yang biru ini yg cocok which is the skin barrier moist one! ngelembapin banget, cocok buat kulit sensitif, wajib nyetok yang big tube nya!",Asli
Marista9819,25 - 29,"Oily, Medium Light, Neutral",1 week - 1 month,FD Try and Review,5,Ya,"skintific 5x ceramide ini moisturize yang bagus banget buat ngelembabin kulit,,, cepat meresap juga di kulit wajah ,, bagus untuk memperkuat skin barrier dan memperbaiki skin barrer,,, semua jenis kulit bagus pake ini termasuk oily skin kaya aku",Asli
retta_regina,19 - 24,"Oily, Medium, Neutral",Less than 1 week,Shopee,5,Ya,"Kecintaan bgt sama satu ini, calming semua jenis jerawat aku , calming redness , beruntusan top top top ga ada duanya. Tekstur: watery bukan lotion , jadi cepat menyerap ke kulit , udah pasti jdi holygrail kalo muka gradakan. The point is untuk skinbarier aja ga yang macem2 but i like it!âŠ¹â™¡",Asli
Niarvmoyra,19 - 24,"Combination, Medium, Neutral",More than 1 year,Shopee,5,Ya,"udah lama bgt pake skintific moist yg inii udah ada 4 tube yg kecil dan 3 tube yg besar. dari sekian moist yg pernah aku coba ternyata aku cocok banget sama yang satu inii daripada pakai produk yg lain, karena ga terlalu berat dan ga bikin kulitku terlalu oily",Asli
ilovefriyay,18 and Under,"Combination, Medium Light, Neutral",1 week - 1 month,Gift,5,Ya,"awalnya aku underestimate produk ini karena dikit isinya, palingan juga biasa aja efeknya. waktu aku breakout pipi kiri kanan dan semua sekincare khusus breakout aku abis, ada moist ini di meja mamaku dan aku pake aja ini selama breakout. dan GILAAAAAA BAGUS BGTTTTTTTT, beneran dalam 4 hari breakout aku MUCH BETTER. beneran 4 hari doang dan ini pure make moist ini aja. aku ngerti sih knp dia bisa viral skrg ðŸ¥² karena emg sebagus itu cuma minusnya ya dia mahal dan dikit isinya",Asli
Jasminekarl,25 - 29,"Normal, Light, Cool",1 month - 3 months,Official Brand Store,4,Ya,hmm ini moisturizer bikin lembab aja sih nyerap nya juga agak lama di kulit aku. tapi aku gak ngerasain efek apa apa yang signifikan. harganya lumayan mahal tapi isi nya gampang menguap (gak tau kenapa),Asli
Sheilaaawp,19 - 24,"Normal, Medium Light, Neutral",6 months - 1 year,Shopee,5,Ya,"Beneran deh ini salah satu moisturizer yang bikin kulit aku lembab tapi gak bikin berminyak. Sempet pake 4 jar dan cocok sekali dikulitku ini, untuk ukuran 1 jar isinya lumayan, beli nya pas lagi diskon jadi gak kerasa mahal dibanding manfaatnya yg super dikulit ku. Alasan ganti moisturizer karena aku selalu ingin mencoba yang lain, tapi tetep suka balik lagi sama skintific ini",Asli
r_ajeng,25 - 29,"Combination, Medium Light, Warm",6 months - 1 year,Shopee,5,Ya,"kagettt ternyata aku cocok pake produk ini. beneran sih perbaikin skin barrier, nenangin kulitku kalo lagi breakout. kemerahan berkurang. cuma packagingnya gede bgt yak wkwkkw, isinya yaudah hahahahha. oke sih bakalan repurchase ðŸ¤—ðŸ¤—ðŸ¤—",Asli
Christina_deo,25 - 29,"Oily, Medium, Warm",1 week - 1 month,Shopee,2,Tidak,"Sadly, produk yang super hype ini ga cocok di aku. Meskipun dia teksturnya gel yang ringan, cepat meresap, no fragrance, tapi sayangnya dia bikin kulitku merah-merah, gatal, dan timbul beruntusan. Udah sempet stop pemakaian bbrp kali terus coba pakai lagi dengan harapan akan membaik hasilnya tapi sama aja ujungnya tetep beruntusan.",Asli
nadasushi,19 - 24,"Combination, Medium, Warm",6 months - 1 year,Sociolla,5,Ya,"Moisturizer yang bs dipake pas malem atau pun pagi hari sebelum makeup. Hydrationnya bagus dan dulu reasons why pake ini karena claimnya bs repair skin barrier dan ternyata bener, abis 3-4 minggu pemakaian setiap hari langsung jadi keliatan sehat banget kulit. Suka banget sm texturenya gak lengket dan cepet nyerep, walau harganya agak mahal tapi bague puoll dikulit gue. Gak ada bau spesifik atau yang strong.",Asli
nabilays,19 - 24,"Dry, Medium Light, Neutral",3 months - 6 months,Shopee,3,Ya,"banyak banget yg nyaranin moisturizer ini, dan sempet hype juga. plusnya aku suka banget sama teksturnya. sadly kurang nampol di kulitku, tapi ga nimbulin efek negatif juga sih. kalau untuk repurchase kayanya ga dulu soalnya ada yang lebih nampol di aku.",Asli
ameliadion,19 - 24,"Normal, Medium, Neutral",3 months - 6 months,Shopee,5,Ya,"moisturizer penolong kalo kulit lagi bermasalah. jerawat meradang, beruntusan cepet sembuhðŸ¥°ðŸ¥°. bener bener buat nenangin skin barier yang lagi ngamuk ini sih solusi yang paling pas. pertama liat produknya kaya takut coba soalnya kulitku ngga gampang cocokan sama produk. tapi setelah coba emang sesuka ituu",Asli
Rully7april,45 and Above,"Oily, Medium, Warm",1 week - 1 month,Shopee,5,Ya,"nyobain moisturizer yang lagi viral â€¦â€¦â€¦â€¦tadinya sempat pesimis dengan yang viral viral karena biasanya kadang sesuai kadang tidak sesuai, biasanya pengalaman aku begitu kalau nyoba yang viral dengan yang nyari sendiri suka cocok cocokanâ€¦.,eh tapi ini beneran seenak itu pas dicoba kulit jadi lebih hinyai ðŸ‘",Asli
Hotmi,25 - 29,Unknown,Less than 1 week,Shopee,5,Ya,"Skintific 5X Ceramide barrier Moisture gel Paling cocok untuk kulitku yang sensitif,sehingga skin barrier ku mulai membaik,harga nya juga sangat worth it,jadi sangat recommended untuk kalangan remaja seluruh dunia.",Palsu
Alifaaudah,25 - 29,"Normal, Medium Light, Warm",1 week - 1 month,Lazada,5,Ya,"Telat bgt ya baru coba moisturizer viral ini. Pantes sih ini viral krn bnrn sebagusss itu.Teksturnya gel thick, gampang diblend, ada wanginya sedikit, cepat meresapnya, dewy finish, lembab nya poll tp ga bikin gerah. Bagus bgt buat jd primer sblm makeup-an.Â  Bantu redain redness juga. Best bgt lah pkknya masuk ke list moisturizer favorite",Asli
nadnadiiah,25 - 29,"Dry, Medium, Neutral",6 months - 1 year,Shopee,5,Ya,"Karena aku bocahnya fomo ðŸ˜Œ #maapPas banget waktu itu kulit aku super kering sampai merah merah di sekitaran pipi. Lumayan mengganggu aktivitas karena panas dan suka garuk gitu tanpa sadar ðŸ˜­ðŸ™ðŸ». Lumayan terbantu juga pakai produk ini, sensasinya dingin dan bikin kulit jadi lebih lembab. Beberapa hari setelah apply produk ini ke wajah jadi lebih lembab dan gak merah merah lagi ðŸ˜. Aku repurchase terus dan nyetok banyak wkwkwk.",Asli
oofebianca,19 - 24,"Dry, Light, Neutral",1 month - 3 months,Shopee,5,Ya,"everybody knows lah ya seberapa bagus produk ini sampe viral. beneran bagus di kulitku, very hydrating dan bikin wajah plump. teksturnya gel putih ringan pas diratain di wajah gampang bgt langsung meresap dan ada cooling sensationnya gitu. sering banget diskon tp menurutku mouist ini masih cukup priceyðŸ˜†ðŸ™ðŸ» tp worth the price bgt kokðŸ‘ðŸ»",Asli
Lisdadama05,19 - 24,"Oily, Medium Dark, Warm",Less than 1 week,Shopee,5,Ya,"aku pake skintific udah hampir 2 tahun, waktu itu di rekomendasikan sama teman ku, gara-gara dulu aku tuh banyak bekas jerawat gara-gara obat dokter. setrlah ku berhenti dari obat dokter sejak smp banyak bgt jerawatnya, jadi aku disuruh coba skintific. bagus banget",Asli
delvinaputrii17,30 - 34,"Oily, Medium, Neutral",6 months - 1 year,Jelita Cosmetic,5,Ya,"Very worth to buy.. salah satu produk yg akan aku re-purchase terus.. Suka bgt sama teksturnya, awet banget sampe 2 bln hehe.. efeknya ke kulit wajahku jg jadi ga kusam.. harga jg oke, apalagi kalo dapet promoan di marketplace.. thanks skintific ðŸ¥°â¤ï¸",Asli
teklaangelina,30 - 34,"Combination, Medium Light, Cool",More than 1 year,Shopee,5,Ya,"Super duper suka sama teksturnya. Pakai ini pas lagi hype2nya, ternyata cocokkk. Mungkin ini udah jar ke 5 kayaknya deh. Langsung menyerap dengan baik, jadi base makeup juga ga crack. Cuma 1 sih kelemahannya, a little bit pricey for me. But overall good!! ðŸ¥°",Asli
ecye16,25 - 29,"Oily, Medium Dark, Warm",1 month - 3 months,Shopee,5,Ya,"Moisturizer ini cocoknya untuk kulit berminyak, kalo untuk kulit kering kurang lembab. Aku masukkin kulkas, biar seger haha tapi meskipun aku kulit berminyak, aku ngerasa kurang terlalu lembab yah. Jadi cuma purchase sekali aja, karena gak terlalu keliatan lembabnya",Asli
Dika_J,19 - 24,"Dry, Medium, Neutral",6 months - 1 year,Shopee,5,Ya,Moisturizer pertama yang buat calming di kulit. Kesannya calming tapi kulit kering ku juga sering kelupas. Buat kulit ku yang jerawat bruntusan emang susah buat hilangin nya cuma ya gitu buat jerawat kalem aja,Asli
angelfebrin,30 - 34,"Combination, Medium Light, Warm",1 month - 3 months,Shopee,4,Ya,"Moisturizer dengan ceramide yang menjaga skin barrier, mudah menyerap ke kulit, buat kulit bruntusan jadi halus setelah pemakaian hampir dua minggu. Tapi sayang banget menurutku isinya terlalu sedikit untuk packaging yang terlihat besar.",Asli
aqila_putri,19 - 24,"Combination, Medium, Warm",1 month - 3 months,Shopee,5,Ya,"baguss bangeeeettt, very moisturizing and help repairing my skin barrier. kulit jadi mulus dan sehat bangeett cocok banget buat di kulitku yang dry ngelembapinnya okee bangeet. pasti akan repurchase sihh",Asli
Heidista,30 - 34,"Combination, Light, Warm",Less than 1 week,Shopee,2,Tidak,"ga tau kenapa, orang orang cocok banget ya sm moisturizer viral ini. sedangkan gw engga. kmrn jg pernah pake moisturizer originote jg ga cocok jg. kulit jd kemerahan, muncul jerawat. pas aku cek, dua duanya itu kandungannya hyalluron sm ceramide. kayanya fix gw ga cocok ceramide. biasa si yang enak yang kaya panthenol, witch hazel, atau tea tree.",Asli
azzkiyaa,19 - 24,"Oily, Medium Light, Neutral",More than 1 year,Shopee,5,Ya,"ktnya ini cocok buat kulit kering tpi di mukaku yg oily ini bagus kok, bikin mukaku mulush plumpy bgt kek pantat bayi trs jdi gk gampang jerawatan mana baunya enak bgt lahi dan teksturnya tuh enak polll gampang dibland di muka dan cepet bgt nyerepnyaðŸ˜",Asli
franciskarulof,19 - 24,"Oily, Medium, Neutral",1 month - 3 months,Female Daily Event,5,Ya,"Ini adalah moisturizer pertamaku yang aku langsung cocok dan suka banget sama produk ini! bikin lembab, makeup makin nempel dan tahan lama, sangat mengurangi beruntusan dan memperbaiki tekstur kulit, cocok banget buat yang barusan lepas krim dokter. love banget sama moist skintific ini",Asli
csnadya,25 - 29,"Dry, Medium Light, Neutral",1 month - 3 months,Grand Lucky Superstore,4,Ya,"Beneran bikin lembab, plump, halus, cantik banget deh berasa nya. Texture nya enak banget, gampang menyerap, pokoknya cinta banget. Sayangnya, lumayan pricy menurutku krn texture gel jadi cepat banget habis. Jadi wondering, ada cheaper alternatives gak ya?",Asli
Lilislidiannisa,25 - 29,"Dry, Medium, Neutral",Less than 1 week,Shopee,5,Ya,"sukaa banget sama skintific ceramide moisture ini, teskturnya gel tapi ngga lengket sama sekali, dan melembabkan banget. kulitku jadi makin halus setelah pakai moisture skintific ini. cocok banget buat kulit yang sensitif sekaligus dan pastinya aman buat bumil busui. buruan cobain!!!! gak nyesel asliiii",Palsu
anggitanns_,19 - 24,"Combination, Medium, Neutral",Less than 1 week,Shopee,5,Ya,"moistyrizer skintific yg biru ini nenangin banget di muka. bikin jadi lebih kenyal dan lembab. meskipun agak pricey tapi ini worth it banget buat dicoba. Jadi tak perlu khawatir lagi ya, produk ini cocok untuk kamu yang memiliki kulit kering, sensitif, atau mengalami masalah skin barrier",Asli
Ufuaida,19 - 24,"Combination, Medium, Neutral",3 months - 6 months,Shopee,4,Ya,"ini produk bertekstur gel yang cocok buat skin type apapun. diwajahku yg acne prone juga masih cocok. di kulit berminyak juga masih aman aja, karena di teksturnya gel gitu. untuk harga menurut saya masih tergolong mahal yaa, karena teksturnya gel jadinya dia bakal cepet habis",Asli
cacacahya_,19 - 24,"Combination, Medium Light, Neutral",6 months - 1 year,Shopee,5,Ya,"Beneran ini produk favorit aku dari tahun 2021 awalnya coba coba dan ternyata produknya sebagus itu,bikin kulit menjadi sehat,kencang dan menghilangkan noda hitam dalam sekejap dan untuk tekstur nya ringan ga bikin wajah berminyak cocok bgt buat kulit berminyk",Asli
Wahyuaprilia,19 - 24,"Normal, Medium Light, Neutral",Less than 1 week,Shopee,5,Ya,"Dulu waktu skintific pertama kali ngeluarin produk mouisturizer ini aku langsung tertarik untuk coba, lalu ternyata cocok dikulit aku yang dulu awalnya kusam sekarang jadi lebih cerah . Sampe temen temen aku tanya skincare yang aku pakai , lalu aku rekomin produk ini ke temen aku akhirnya cocok dong mereka sampe sekarang",Asli
kartikajuanita,19 - 24,"Oily, Medium Dark, Neutral",3 months - 6 months,Shopee,5,Ya,setelah banyak munncul iklan dari skintific aku mulai cari tau tentang produk ini dan review dari orang-orang sangat baik apalagi untuk kulit yang sensitif dan berjerawat. setelah memilih milih produk yang cocok sama kulitku akhirnya aku memilih moist skintific ini,Asli
treynadara,45 and Above,"Dry, Medium Dark, Neutral",Less than 1 week,FD Flash Sale,5,Ya,"sangat cocok untuk kulit kering, sangat melembabkan, tidak bikin iritasi, banyak variasinya, kulit lebih bersih, bersinar, calming, untuk kulitt saya jadii lebih cerah setelah menggunakan product dari skintifict ini, sudah beli berkali kali",Asli
alzah2512,25 - 29,"Combination, Medium Dark, Neutral",1 month - 3 months,Female Daily Studio,5,Ya,"produk ini all in one buat mukaku, muka menjadi lebih glow dan gak gampang breakout gara-gara produk bim salabim ini, jujur awal make produk ini sempat gak percaya karena lama banget ngaruhnya di kulitku ternyata lama kelamaan kulit ini kog makin halus dan gak gampang jerawatan",Asli
Nathaniaaj,19 - 24,"Combination, Light, Cool",1 month - 3 months,XBeauty by Female Daily,5,Ya,"Cinta banget sama moisturizer dari skintific yang 5x ceramide barrier ini. Cocok banget buat aku yang punya kulit kering sekaligus buat repair skin barrier aku yang rusak. Pernah pake waktu berutusan dan jerawatan, dalam 3 hari udah ilang. Mantep bangetðŸ‘ðŸ»",Asli
marshanabilah,19 - 24,"Combination, Medium Light, Cool",3 months - 6 months,Shopee,4,Ya,"Gelnya tidak terasa berat di wajah, mudah diratakan, dan feel lembabnya terasa melapisi kulit semacam memberi lapisan pada skin barrier, namun tetap ringan & tanpa rasa lengket. Walaupun gelnya tidak langsung meresap ke kulit setelah diaplikasikan, ini menjadi penanda kalau gelnya lebih memberikan kelembapan yang tahan lama di wajah.",Asli
Ociepitaloka_88,35 - 39,"Oily, Medium Light, Cool",More than 1 year,Shopee,5,Ya,moisturizer yang paling cocok untuk memperbaiki skim barrier yang rusak. texture wajah termasuk yang berminyak dan berjerawat dan juga sensitive. moisturizer ini juga bisa melembabkan kulit wajah yang kering. karena mengandung 5x ceramide,Asli
RinaDwiAnjani,25 - 29,"Combination, Medium Light, Neutral",Less than 1 week,Shopee,5,Ya,"musturazer yang cocok banget buat muka berjerawat dan sensitif kayak kulit aku. kakak aku berjerawat juga pakai dan sekarang sudah lumayan jerawatnya. kulit jadi lebih seger dan adem setelah pakai, bakalan terus beli dan dan pakai terus produk ini",Asli
nabilasafira1212,19 - 24,"Dry, Medium Light, Neutral",3 months - 6 months,Female Daily Studio,3,Ya,"pertama kali beli ini karena keracunan dari review review orang di tiktok cuman setelah aku pakai kurang cocok, di kukit aku malah kurang melembabkan dan malah banyak jerawat yang timbul namun di kulit mamaku jadinya bagus dan sangat melembabkan",Asli
dinayic,25 - 29,"Dry, Medium, Neutral",6 months - 1 year,Shopee,5,Ya,"top tier moisturizer ku sejauh ini. walau agak pricey dan cepet abis, tapi worth it dan cocok buat kulit kering, karena ngelembabin banget. kulit juga jadi lebih halus, lebih cerah, dan kenyal. memudarkan noda hitam bekas jerawat juga. teksturnya watery favoritku banget.",Asli
maulidiailfani,19 - 24,"Combination, Medium, Warm",6 months - 1 year,Lazada,5,Ya,"Aroma nya seger, teksturnya gel tapi langsung watery ketika di apply ke wajah. Agak lama meresap, cukup melembabkan ketika udah di apply, cocok banget buat yang kulitnya kering. Bagus untuk memperkuat dan memperbaiki skin barrier yang rusak.",Asli
Vina42,19 - 24,"Combination, Medium, Neutral",3 months - 6 months,Shopee,5,Ya,"Ih parah ini moizturaizer ter mantulity yang pernah ku pakai, untuk memperbaiki skin barier bagus banget bisa ngelembabin banget, mukaku dari geradakan alhamdulillah bisa better dengan pemakaian hampir 6 bulan ini bagus banget worth to buy",Asli
retnowulan2310,45 and Above,"Oily, Medium Light, Warm",Less than 1 week,Shopee,5,Ya,"sebagai pemilik skin type oily acne prone produk ini sangat cocokk dan sangat aman banget dipakenya, melembabkan dan menjaga skin barrier, gak bikin becek juga. harga lumayan ya untuk ukuran 30 gr tapi sangat worth to buy boleh dicoba jugaaa",Asli
ameliafitri24,19 - 24,"Oily, Medium, Neutral",Less than 1 week,Female Daily Studio,5,Ya,skintific moisturizer 5X Ceramide sangat bagus dapat membuat skin barrier lebih membaik dan dapat untuk memudarkan bekas jerawat dan kemerahan memudar dan juga dapat membuat kulih sangat lebih cerah. dapat membuat komedo lebih berkurang.,Palsu
disisyayak,19 - 24,"Dry, Medium Light, Neutral",3 months - 6 months,Shopee,4,Ya,ini bagus sih moisturizernya dia ngasi efek melembabkannya oke & sebenernya dia punya fungsi buat memperbaiki skin barrier kan. waktu pake aku ngerasa dia cocok aja di tipe kulitku yang kering ini overall bagus lah buat yg nyari moisturizer ini recommend sih,Asli
Auklia,18 and Under,"Combination, Medium Dark, Neutral",1 week - 1 month,Instagram,5,Ya,"udah pali produk nya kurang lebih sebulanan, hasilnya memuaskan... buat aku yang pecinta skincare cocok buat aku dikulit yang kombinasi dan sensitive. baru pertama kali coba dan menurutku enak dipakai. rekomended bangt buat yang mau belajr skincare",Asli
arbiwafiq05,19 - 24,"Oily, Dark, Neutral",Less than 1 week,Shopee,4,Ya,"skintific ini worth it si harusnya, karena dia bagus di kulit aku melembabkan juga tapi karena ada duplicate nya yang menurutku limayan mirip dengan harga lebih murah jadi aku bergeser ke yang sebelah, so sorry skintific, tapi buat kalian yg kulitnya kering ini recomended sih",Asli
bellaberliana22,19 - 24,"Oily, Medium, Neutral",3 months - 6 months,Official Brand Store,5,Ya,"moisturizer skintific paling bagus banget buat melembabkan wajah, jadi makin mulus dan bisa memperbaikin skin barrier wajah, walaupun harganya lumayan tapi worth it dengan benefit yang sebanyak itu, apalagi cocok untuk semua jenis kulitðŸ’—",Asli
nadeataa,19 - 24,"Combination, Medium Light, Neutral",More than 1 year,Shopee,5,Ya,"Moisturizer Ter the best akuu recommended parah sih ini, suka banget dengan kandungan dari moist ini dalam pemakaian beberapa bulan terlihat banget perubahannya wajah jadi cerah ga gampang breakout dan kusam, kalau pun ada merahÂ² di wajah dipakaikan ini besoknya langsung hilang always repurchase this product",Asli
ranyaani12,25 - 29,"Oily, Dark, Neutral",3 months - 6 months,Shopee,3,Tidak,"beli karena viral, tp maaf mungkin orang lain cocok tapi di aku nggak, semingguan pakai sempet berjerawat, kupikir itu purging tapi kok sampai jerawat batu. memang enak di muka dingin gitu, tapi aku nggak lanjut bahkan nggak aku habisin. sorry tapi aku repurchase sih tidak.",Asli
Devina_123,19 - 24,"Oily, Medium Dark, Warm",More than 1 year,Shopee,5,Ya,"awalnya iseng coba karena lagi rame ehh ternyata waktu coba pertama kali langsung cocok dong dikulit aku, dipake sehari - hari juga ringan apalagi di pake pas make up juga aman banget ngelembapin kulit aku tapi ga bikin berminyak banget pokoknya luv",Asli
shafadharma,19 - 24,"Combination, Medium Light, Neutral",More than 1 year,Sociolla,5,Ya,"game changer pas kulit lagi breakout dan merah2. aku udah repurchase berkali kali karena sukaaa bgtt. teksturnya ringan dan mudah meresap ke kulit bikin kulit lembab dan supeerrr calming tanpa ada rasa lengket, cocok game changer pas kulit lagi breakout dan merah2. aku udah repurchase berkali kali karena sukaaa bgtt. teksturnya ringan dan mudah meresap ke kulit bikin kulit lembab dan supeerrr calming tanpa ada rasa lengket, cocok buat si oily-combi",Asli
hailinn,25 - 29,"Oily, Medium, Warm",3 months - 6 months,Shopee,5,Ya,"salah satu produk yang aku kenalin ke temen dan keluarga. texturenya gel tapi waktu diaplikasiin kemuka meleleh gitu terus nggak lengket sama sekali, terus baunya juga wangi. untuk hasil diwajah, wajah jadi lebih cerah dan halus juga terhidrasi",Asli
avitpspt,19 - 24,"Normal, Medium Dark, Neutral",More than 1 year,Shopee,5,Ya,"awal pakai ini juga karena penasaran, akhirnya beli dan coba eh keterusan. bener-bener moist yang enak, nyaman dan ringat, pastinya bikin wajahku terlihat cerah, sehat dan kenyal. wajib re purche sii karna haganya sangat worth it dengan hasilnya",Asli
Putrimasitah,19 - 24,"Combination, Medium Light, Neutral",Less than 1 week,Shopee,5,Ya,"Ini satu satunya moisturizer yang gak lengket di wajah aku. Dari dulu sering gonta ganti moisturizer soalnya lengket. Tapi ini enak bangettt. Warnanya putih emang, tapi pas di apply dia gampang nge set di wajah. Baunya juga gak aneh andh banget",Asli
sasihwamka,25 - 29,"Combination, Medium, Neutral",Less than 1 week,Shopee,5,Ya,"Salah satu produk moisturizer terbaik yang pernah aku coba. Cocok banget untuk melembabkan kulit dan menjaga tetap hydrating. Pakai pagi dan malam hari, bakal terasa efek di kulit lebih mois dan kencang. Thanks skintific sudah rilis ini",Asli
PristyaAW,25 - 29,"Combination, Medium, Neutral",6 months - 1 year,Shopee,4,Ya,"Awal launching produk ini bener-bener booming, akhirnya kepo, jadi nyobain plus ketagihan. Dari packagingnya kayak gede penuh, ternyata cuma berapa gram doang. Jadi ya beli-beli terus sampek ada 5 jar mungkin. Gak taunya ternyata ada versi gedenya ðŸ™‚",Asli
Audryyr,19 - 24,"Combination, Medium Dark, Neutral",6 months - 1 year,Shopee,5,Ya,"Ini Moisturizer pertama aku & langsung cocokâ¤ï¸, Aku udah abis 5jar pake ini. Kulit aku berjerawat aku cocok banget sama yg biru ini, skin barrier membaik, jerawat berkurang..Ini lebih bagus dipakenya malam hari, karna iklim indonesia ini tropis ya jd klo kena panas buat aku agak berminyak",Asli
arunabulan,19 - 24,"Combination, Medium, Warm",More than 1 year,Shopee,5,Ya,"Moisturizer yang cocok untuk memperbaiki skin barier, dapat membantu mengecilkan pori-pori, mengurangi minyak yang berlebihan, meratakah warna kulit, mencerahkan dan meningkatkan kekuatan skin barier. Menghilangkan bekas jerawat dan bertekstur ringan.",Palsu
Almadah12,19 - 24,"Normal, Medium Light, Warm",More than 1 year,Shopee,5,Ya,"Mosturizer yang melembabkan seharian dan membantu memperbaiki skin barierku, pelembabnya ringan dan mudah menyerap sekali di wajahku yang normal, rekom banget buat dipake sebelum make up bisa bikin makeup awet tahan seharian, pokonya the best bangetttt",Asli
analuthifiah_,18 and Under,"Combination, Medium, Neutral",3 months - 6 months,FD Flash Sale,5,Ya,"Dia bagus banget buat ngembalikan skin barrier yang rusak, selain itu nyerep banget di kulit. Awalnya kan coba coba karena bangus banget jadi sering beli dan ketagihan. Sering banget nyetok juga sekaliam beli banyak gitu. Lalu teksturnya nyaman bangey di kulit",Asli
